farmer_id,age,gender,education,land_size_acres,annual_income,crop_type,state,district,region,is_member_fpo,has_taken_crop_insurance,eligible_pmfby,eligible_pmkisan,eligible_fpo_support
1,56,Male,None,9.94,82896.6,Maize,Karnataka,Bengaluru,North,0,1,1,0,0
2,69,Female,Higher,5.6,428720.86,Maize,Bihar,Muzaffarpur,North,0,0,0,0,0
3,46,Female,Primary,7.25,313103.18,Wheat,Gujarat,Surat,East,0,0,0,0,0
4,32,Female,Secondary,1.03,308630.38,Wheat,Punjab,Jalandhar,North,1,1,0,0,1
5,60,Male,Higher,6.5,461456.87,Cotton,Tamil Nadu,Coimbatore,North,0,0,0,0,0
6,25,Female,None,7.76,131927.46,Maize,Bihar,Bhagalpur,North,0,1,1,0,0
7,38,Female,Secondary,7.9,127397.93,Sugarcane,Punjab,Amritsar,West,1,1,0,0,1
8,56,Female,None,7.82,261464.84,Cotton,Punjab,Jalandhar,South,0,0,0,0,0
9,36,Male,Primary,2.65,377922.9,Cotton,Gujarat,Bhavnagar,South,1,0,0,0,0
10,40,Male,Higher,9.77,229147.95,Rice,Bihar,Purnia,North,0,0,1,0,0
11,28,Female,Secondary,9.95,320606.78,Sugarcane,Bihar,Muzaffarpur,North,1,0,0,0,1
12,28,Female,Primary,1.22,231737.11,Cotton,Tamil Nadu,Tiruchirappalli,West,0,1,0,0,0
13,41,Female,Higher,9.4,309089.72,Rice,Bihar,Gaya,North,1,1,0,0,1
14,53,Male,Higher,3.25,412908.53,Maize,Bihar,Bhagalpur,East,0,1,0,0,0
15,57,Male,None,7.05,98433.58,Sugarcane,Tamil Nadu,Chennai,South,1,0,0,0,0
16,41,Male,None,3.71,350735.48,Maize,Punjab,Patiala,East,1,1,0,0,0
17,20,Female,Primary,9.69,395838.61,Rice,Gujarat,Ahmedabad,West,0,1,0,0,0
18,39,Male,None,1.46,229084.59,Sugarcane,Bihar,Muzaffarpur,North,1,1,0,0,0
19,19,Female,Primary,5.23,168384.45,Wheat,Gujarat,Bhavnagar,West,1,0,1,0,0
